pre_id,w,slnc50_none,slnc50_pair,slnc50_quint,is_grn,is_relay,is_brake,drive_slnc50_none,drive_slnc50_pair,drive_slnc50_quint
720575940619176094,3,0.0,0.0,0.0,False,False,False,0.0,0.0,0.0
720575940619767073,1,0.0,0.0,0.0,False,False,False,0.0,0.0,0.0
720575940619771375,4,0.0,0.0,0.0,False,False,False,0.0,0.0,0.0
720575940619822942,3,0.0,0.0,0.0,False,False,False,0.0,0.0,0.0
720575940619837473,12,0.0,0.0,0.0,False,False,False,0.0,0.0,0.0
720575940619853515,561,8.8,2.6,1.4,False,False,False,4936.8,1458.6000000000001,785.4
720575940619877396,32,15.6,5.7,3.4,False,False,False,499.2,182.4,108.8
720575940620038822,1,0.0,0.0,0.0,False,False,False,0.0,0.0,0.0
720575940620062288,-3,0.6,0.3,0.0,False,False,False,-1.7999999999999998,-0.8999999999999999,-0.0
720575940620116833,-2,0.0,0.0,0.0,False,False,False,-0.0,-0.0,-0.0
720575940620156209,-267,0.0,0.0,0.0,False,False,False,-0.0,-0.0,-0.0
720575940620297819,-1,0.3,0.2,0.0,False,False,False,-0.3,-0.2,-0.0
720575940620580272,6,0.0,0.0,0.0,False,False,False,0.0,0.0,0.0
720575940620861934,-12,0.0,0.0,0.0,False,False,False,-0.0,-0.0,-0.0
720575940621068464,3,0.0,0.0,0.0,False,False,False,0.0,0.0,0.0
720575940621116510,-1,0.0,0.0,0.0,False,False,False,-0.0,-0.0,-0.0
720575940621150191,1,0.0,0.0,0.0,False,False,False,0.0,0.0,0.0
720575940621166625,-3,0.0,0.0,0.0,False,False,False,-0.0,-0.0,-0.0
720575940621261296,11,6.1,1.8,0.4,False,False,False,67.1,19.8,4.4
720575940621354736,-9,0.0,0.0,0.0,False,False,False,-0.0,-0.0,-0.0
720575940621422518,-9,1.2,0.3,0.1,False,False,False,-10.799999999999999,-2.6999999999999997,-0.9
720575940621848063,-1,0.0,0.0,0.0,False,False,False,-0.0,-0.0,-0.0
720575940621900981,-1,0.0,0.0,0.0,False,False,False,-0.0,-0.0,-0.0
720575940622018309,-11,0.0,0.0,0.0,False,False,False,-0.0,-0.0,-0.0
720575940622021637,-71,0.0,0.0,0.0,False,False,False,-0.0,-0.0,-0.0
720575940622195625,1,0.0,0.4,0.7,False,False,False,0.0,0.4,0.7
720575940622351996,1,0.0,0.0,0.0,False,False,False,0.0,0.0,0.0
720575940622624214,22,0.4,0.5,0.2,False,False,False,8.8,11.0,4.4
720575940622632084,5,0.0,0.0,0.0,False,False,False,0.0,0.0,0.0
720575940622921827,95,0.0,0.0,0.0,False,False,False,0.0,0.0,0.0
720575940623132621,-24,0.0,0.0,0.0,False,False,False,-0.0,-0.0,-0.0
720575940623164685,1,0.0,0.0,0.0,False,False,False,0.0,0.0,0.0
720575940623211725,424,9.2,3.2,0.7,False,False,False,3900.7999999999997,1356.8000000000002,296.79999999999995
720575940623224811,-38,0.0,0.0,0.0,False,False,False,-0.0,-0.0,-0.0
720575940623264904,2,0.0,0.0,0.0,False,False,False,0.0,0.0,0.0
720575940623379750,-2,0.0,0.0,0.0,False,False,False,-0.0,-0.0,-0.0
720575940623663084,8,0.0,0.0,0.0,False,False,False,0.0,0.0,0.0
720575940623676394,-3,0.0,0.0,0.0,False,False,False,-0.0,-0.0,-0.0
720575940623697898,-1,0.0,0.0,0.0,False,False,False,-0.0,-0.0,-0.0
720575940623781611,23,0.0,0.0,0.0,False,False,False,0.0,0.0,0.0
720575940623918121,-20,0.0,0.0,0.0,False,False,False,-0.0,-0.0,-0.0
720575940623924104,3,0.0,0.0,0.0,False,False,False,0.0,0.0,0.0
720575940624038663,-10,0.0,0.0,0.0,False,False,False,-0.0,-0.0,-0.0
720575940624220925,1,0.0,0.0,0.0,False,False,False,0.0,0.0,0.0
720575940624447240,-1,0.0,0.0,0.0,False,False,False,-0.0,-0.0,-0.0
720575940624756297,-2,0.0,0.0,0.0,False,False,False,-0.0,-0.0,-0.0
720575940624877360,-5,0.0,0.0,0.0,False,False,False,-0.0,-0.0,-0.0
720575940624966840,-6,3.7,1.2,0.3,False,False,False,-22.200000000000003,-7.199999999999999,-1.7999999999999998
